faq_id,category,canonical_question,variant_index,generated_variant,answer
4,عام,السلام عليكم,1,سلام عليكم,وعليكم السلام ورحمة الله وبركاته
6,التسجيل,هل كلية الإمام الكاظم حكومية أم أهلية؟,1,كليه امام كاظم حكوميه ام اهليه,كلية الإمام الكاظم (ع) حكومية تابعة لديوان الوقف الشيعي ومعترف بها من وزارة التعليم العالي في العراق.
6,التسجيل,هل كلية الإمام الكاظم حكومية أم أهلية؟,2,كلية الإمام الكاظم حكومية أم أهلية,كلية الإمام الكاظم (ع) حكومية تابعة لديوان الوقف الشيعي ومعترف بها من وزارة التعليم العالي في العراق.
7,التسجيل,ما هي آلية التقديم في كلية الإمام الكاظم؟,1,طريقة التقديم شنو,التقديم في كلية الإمام الكاظم (ع) يتم إلكترونيًا عبر موقع الكلية ثم مراجعة شعبة التسجيل لتسليم المستمسكات وإكمال القبول.
7,التسجيل,ما هي آلية التقديم في كلية الإمام الكاظم؟,2,التسجيل والتقديم شلون يصير,التقديم في كلية الإمام الكاظم (ع) يتم إلكترونيًا عبر موقع الكلية ثم مراجعة شعبة التسجيل لتسليم المستمسكات وإكمال القبول.
7,التسجيل,ما هي آلية التقديم في كلية الإمام الكاظم؟,3,يه تقديم كليه امام كاظم,التقديم في كلية الإمام الكاظم (ع) يتم إلكترونيًا عبر موقع الكلية ثم مراجعة شعبة التسجيل لتسليم المستمسكات وإكمال القبول.
8,التسجيل,هل التقديم مباشر أم عن طريق القبول المركزي؟,1,كم معدل القبول,التقديم في كلية الإمام الكاظم يكون مباشر عبر موقعها وليس عن طريق القبول المركزي.
8,التسجيل,هل التقديم مباشر أم عن طريق القبول المركزي؟,2,شنو الحد الادنى للقبول,التقديم في كلية الإمام الكاظم يكون مباشر عبر موقعها وليس عن طريق القبول المركزي.
8,التسجيل,هل التقديم مباشر أم عن طريق القبول المركزي؟,3,تقديم مباشر ام طريق قبول مركزي,التقديم في كلية الإمام الكاظم يكون مباشر عبر موقعها وليس عن طريق القبول المركزي.
9,عام,ما هو موقع كلية الإمام الكاظم الرئيسي في بغداد؟,1,وين موقع الكليه ببغداد,كلية الإمام الكاظم للعلوم الإسلامية الجامعة موقعها الرئيسي في حي أور أمام نادي النفط – بغداد 14522، العراق.
9,عام,ما هو موقع كلية الإمام الكاظم الرئيسي في بغداد؟,2,موقع كليه امام كاظم رييسي غداد,كلية الإمام الكاظم للعلوم الإسلامية الجامعة موقعها الرئيسي في حي أور أمام نادي النفط – بغداد 14522، العراق.
10,عام,هل توجد فروع للكلية في محافظات أخرى؟,1,توجد فروع كليه محافظات اخري,نعم، كلية الإمام الكاظم لديها أقسام وفروع في محافظات أخرى مثل بغداد، النجف، بابل، الديوانية، ميسان، ديالى، كربلاء، واسط وليس فقط في بغداد.
10,عام,هل توجد فروع للكلية في محافظات أخرى؟,2,توجد فروع للكلية في محافظات أخرى,نعم، كلية الإمام الكاظم لديها أقسام وفروع في محافظات أخرى مثل بغداد، النجف، بابل، الديوانية، ميسان، ديالى، كربلاء، واسط وليس فقط في بغداد.
11,التسجيل,ما هو الحد الأدنى للمعدل للقبول في الكلية؟,1,كم معدل القبول,الحد الأدنى للمعدل للقبول في كلية الإمام الكاظم عادةً يكون حوالي 60 ٪ في معظم الأقسام (وقد يختلف حسب التخصص والسنة).
11,التسجيل,ما هو الحد الأدنى للمعدل للقبول في الكلية؟,2,شنو الحد الادنى للقبول,الحد الأدنى للمعدل للقبول في كلية الإمام الكاظم عادةً يكون حوالي 60 ٪ في معظم الأقسام (وقد يختلف حسب التخصص والسنة).
11,التسجيل,ما هو الحد الأدنى للمعدل للقبول في الكلية؟,3,حد ادني معدل قبول كليه,الحد الأدنى للمعدل للقبول في كلية الإمام الكاظم عادةً يكون حوالي 60 ٪ في معظم الأقسام (وقد يختلف حسب التخصص والسنة).
12,التسجيل,هل الدراسة الصباحية مجانية بالكامل؟,1,دراسه صباحيه مجانيه كامل,نعم، الدراسة الصباحية في كلية الإمام الكاظم (ع) مجانية بالكامل مثل باقي الجامعات الحكومية.
13,التسجيل,هل توجد دراسة مسائية؟,1,توجد دراسه مساييه,نعم، كلية الإمام الكاظم (ع) توفر دراسة مسائية إلى جانب الصباحية.
14,التسجيل,هل يوجد نظام موازي في كلية الإمام الكاظم؟,1,اكو نظام موازي,لا، كلية الإمام الكاظم (ع) لا يوجد فيها نظام موازي رسمي مثل الجامعات الأهلية، فقط صباحية ومسائية للدراسة.
14,التسجيل,هل يوجد نظام موازي في كلية الإمام الكاظم؟,2,هل الكليه بيها موازي,لا، كلية الإمام الكاظم (ع) لا يوجد فيها نظام موازي رسمي مثل الجامعات الأهلية، فقط صباحية ومسائية للدراسة.
